"name","slug","categories","category","status","shortDescription","websiteUrl","logoUrl","twitterUrl","discordUrl","docsUrl","longDescription","coreFeatures","targetUsers","riskNotes","tags","isFeatured","featuredOrder"
"Veda","veda","DeFi","","Live","Veda 是链上资产配置基础设施，帮助 HyperEVM 生态中的金库和收益产品自动化分配资金。","https://veda.tech","https://icons.llama.fi/veda.jpg","https://x.com/veda_labs","","","Veda 是一个面向链上金库和收益产品的资本配置平台，核心能力是把复杂的资产管理策略封装成用户更容易参与的链上产品。它支持项目方、金库和资产管理者在不同策略之间分配资金，并通过自动化流程降低用户直接操作多个协议的复杂度。对于 HyperEVM 生态来说，Veda 更像收益产品和资金入口的底层模块，可以帮助更多策略以更清晰的方式面向用户开放。","链上资金配置;收益金库基础设施;策略自动化执行;多协议资金分配;用户存取款入口","","","DeFi;Vault;Onchain Capital Allocator;Yield;HyperEVM","false",""
"Pendle","pendle","DeFi","","Live","Pendle 是收益交易协议，支持用户在 HyperEVM 上拆分、交易和管理未来收益。","https://pendle.finance/","https://icons.llama.fi/pendle.jpg","https://x.com/pendle_fi","","https://docs.pendle.finance/","Pendle 是一个专注于收益交易的 DeFi 协议，它把带收益资产拆分为本金部分和收益部分，让用户可以交易未来收益、锁定固定收益或参与收益波动策略。接入 HyperEVM 后，Pendle 可以为 HYPE 相关资产和生态收益资产提供更成熟的收益市场，让用户不只是持有资产，也能围绕未来收益进行更精细的配置。","收益资产拆分;固定收益策略;未来收益交易;收益市场流动性;DeFi 收益管理","","","DeFi;Yield;Yield Trading;Fixed Yield;HyperEVM","false",""
"Upshift","upshift","DeFi","","Live","Upshift 是链上资本配置平台，为 HyperEVM 用户提供精选金库和策略化收益入口。","https://app.upshift.finance/r/8feeeF621Ee3","https://icons.llama.fi/upshift.jpg","https://x.com/upshift_fi","","","Upshift 是一个面向链上收益和资产配置的 DeFi 平台，重点是把专业化策略、金库和链上机会整合成用户可以直接参与的产品。它在 HyperEVM 上属于资金配置类应用，适合希望通过精选策略参与生态收益，但不想频繁手动切换协议和仓位的用户。Upshift 的价值在于降低策略参与门槛，并把复杂的链上收益组合转化为更直观的存取款体验。","精选收益金库;链上资金配置;策略化收益入口;自动化资产管理;多协议收益聚合","","","DeFi;Vault;Onchain Capital Allocator;Yield;HyperEVM","false",""
"D2 Finance","d2-finance","DeFi","","Live","D2 Finance 是链上策略金库平台，为 HyperEVM 用户提供主动管理型收益策略。","https://d2.finance/strategies","https://icons.llama.fi/d2-finance.jpg","https://x.com/D2_Finance","","","D2 Finance 是一个 DeFi 策略平台，主要通过金库和策略产品帮助用户参与链上收益机会。它在 HyperEVM 中属于 Onchain Capital Allocator 类型，定位不是单一交易工具，而是把不同市场环境下的收益策略产品化。用户可以通过 D2 的策略入口获得更主动的资产管理敞口，项目方也能围绕 HyperEVM 的资产和收益场景构建更丰富的资金产品。","策略金库;主动管理收益;链上资产配置;多策略产品;HyperEVM 收益入口","","","DeFi;Vault;Strategy;Onchain Capital Allocator;HyperEVM","false",""
"Hybra","hybra","DEX;DeFi","","Live","Hybra 是 HyperEVM 上的去中心化交易协议，围绕流动性池、代币兑换和收益激励构建交易入口。","https://www.hybra.finance","https://icons.llama.fi/hybra-v4.jpg","https://x.com/HybraFinance","","","Hybra 是部署在 HyperEVM 上的 DEX 协议，核心功能是为生态资产提供交易、流动性和费用收益入口。它通过不同版本的流动性池支持用户兑换代币、提供流动性和参与生态激励。对于 HyperEVM 生态来说，Hybra 可以补充原生交易和流动性基础设施，让更多长尾资产拥有可用的交易市场。","代币兑换;流动性池;LP 收益;DEX 交易入口;HyperEVM 原生流动性","","","DEX;AMM;Liquidity;DeFi;HyperEVM","false",""
"Hyperdrive HL","hyperdrive-hl","DeFi","","Live","Hyperdrive HL 是 HyperEVM 上的借贷市场，为用户提供存款、借款和利率市场入口。","https://hyperdrive.fi/","https://icons.llama.fi/hyperdrive-hl.jpg","https://x.com/hyperdrivedefi","","","Hyperdrive HL 是面向 HyperEVM 的借贷协议，主要围绕资产存款、借款和利率市场构建。用户可以把资产存入市场获取利息，也可以在抵押条件下借出其他资产，从而提高资金使用效率。它属于 HyperEVM DeFi 基础层的一部分，能够为交易、收益策略和杠杆场景提供更基础的资金市场支持。","资产存款;抵押借款;利率市场;资金效率提升;DeFi 借贷基础设施","","","DeFi;Lending;Borrow;Money Market;HyperEVM","false",""
"Hyperstable","hyperstable","Stable;DeFi","","Live","Hyperstable 是 HyperEVM 上的 CDP 协议，围绕抵押资产铸造稳定资产和金库收益构建。","https://app.hyperstable.xyz/r/DEFILLAMA","https://icons.llama.fi/hyperstable.jpg","https://x.com/HyperstableX","","","Hyperstable 是面向 HyperEVM 的稳定资产和 CDP 协议，用户可以通过抵押资产生成稳定币或参与相关金库产品。它的定位是为生态提供稳定资产基础设施，让用户在保留抵押资产敞口的同时获得更灵活的流动性。对于 HyperEVM 来说，Hyperstable 可以补足稳定币、借贷和收益策略之间的连接层。","抵押债仓 CDP;稳定资产铸造;抵押品管理;金库收益;HyperEVM 稳定币基础设施","","","Stable;CDP;DeFi;Vault;HyperEVM","false",""
"HyperBloom","hyperbloom","DEX;DeFi","","Live","HyperBloom 是 HyperEVM 上的 DEX 聚合器，帮助用户在不同流动性来源之间寻找更优交易路径。","https://www.hyperbloom.xyz/","https://icons.llama.fi/hyperbloom.jpg","https://x.com/hyperbloomxyz","","","HyperBloom 是面向 HyperEVM 的 DEX Aggregator，核心价值是聚合多个交易和流动性来源，为用户寻找更好的兑换路径和价格执行。随着 HyperEVM DEX 数量增加，单一池子的价格和滑点可能不再最优，聚合器可以帮助用户减少手动比较成本。它更像生态交易入口层，为普通用户和高频交易用户提供更直接的 swap 体验。","DEX 聚合交易;最优路径路由;多流动性来源聚合;降低滑点;HyperEVM 交易入口","","","DEX;DEX Aggregator;Swap;Routing;HyperEVM","false",""
"Hyperlane","hyperlane","Bridge;Infra","","Live","Hyperlane 是跨链消息和桥接基础设施，为 HyperEVM 与其他链之间提供互操作能力。","https://www.hyperlane.xyz/","https://icons.llama.fi/hyperlane.jpg","https://x.com/hyperlane","","https://docs.hyperlane.xyz/","Hyperlane 是一个跨链互操作协议，提供跨链消息传递、资产桥接和模块化安全组件。接入 HyperEVM 后，Hyperlane 可以帮助生态项目连接其他链上的资产、应用和用户，也能为开发者提供构建跨链应用的基础设施。它不是单一面向用户的 DeFi 产品，而是 HyperEVM 对外连接能力的重要底层模块。","跨链消息传递;资产桥接;跨链应用基础设施;模块化安全组件;多链互操作","","","Bridge;Infra;Cross Chain;Interoperability;HyperEVM","false",""
"Symbiosis","symbiosis","Bridge;DeFi","","Live","Symbiosis 是跨链流动性和资产交换协议，支持用户在 HyperEVM 与其他链之间进行跨链兑换。","https://symbiosis.finance","https://icons.llama.fi/symbiosis.png","https://x.com/symbiosis_fi","","https://docs.symbiosis.finance/","Symbiosis 是一个跨链流动性协议，核心功能是让用户在不同区块链之间完成资产兑换和转移。它通过聚合跨链路由和流动性，降低用户手动桥接、再兑换的操作复杂度。对于 HyperEVM 生态来说，Symbiosis 可以帮助外部资产和用户更顺畅进入生态，也能让 HyperEVM 用户更方便地访问其他链上的流动性。","跨链资产兑换;跨链桥接;多链流动性路由;一站式跨链交易;HyperEVM 入口基础设施","","","Bridge;Cross Chain;Swap;DeFi;HyperEVM","false",""
