name,slug,category,status,shortDescription,websiteUrl,logoUrl,twitterUrl,discordUrl,docsUrl,longDescription,coreFeatures,targetUsers,riskNotes,tags,isFeatured,featuredOrder
项目名称,项目链接名可留空自动生成,项目分类必填,项目状态必填,一句话简介必填,官网链接必填,Logo图片链接可选,Twitter或X链接可选,Discord链接可选,文档链接可选,项目长简介可选,核心功能多个用英文分号分隔,已停用字段留空,已停用字段留空,标签多个用英文分号分隔,是否精选true或false,精选排序数字可留空
Kinetiq,kinetiq,Liquid Staking,Live,Kinetiq 是 Hyperliquid L1 上的非托管流动性质押协议，用户可以质押 HYPE 并获得可在 DeFi 中使用的 kHYPE。,https://kinetiq.xyz/stake,https://icons.llama.fi/kinetiq-khype.jpg,https://x.com/kinetiq_xyz,,https://docs.kinetiq.xyz/,Kinetiq 是 HyperEVM / Hyperliquid 生态中的流动性质押基础设施，核心产品围绕 HYPE 质押与 kHYPE 展开。用户可以在不放弃资产流动性的情况下参与 HYPE 质押，并获得代表质押仓位的 kHYPE，用于生态内其他 DeFi 场景。对于希望持有 HYPE 同时参与收益机会的用户，Kinetiq 提供了更灵活的资金使用方式。,HYPE 流动性质押;kHYPE 收益资产;DeFi 可组合性;非托管质押体验,,,HyperEVM;HYPE;Liquid Staking;kHYPE;Native,FALSE,
Valantis,valantis,Dexs,Live,Valantis 是模块化 DEX 基础设施，已在 HyperEVM 上推出面向质押资产交易的 STEX AMM。,https://www.valantis.xyz,https://icons.llama.fi/valantis-stex.jpg,https://x.com/ValantisLabs,,https://docs.valantis.xyz/,Valantis 是一个模块化去中心化交易协议，面向需要定制化流动性和交易机制的资产场景。其 STEX 产品在 HyperEVM 上运行，重点服务质押资产及相关资产的高效兑换。它适合作为 HyperEVM 生态内交易和流动性基础设施的一部分，为不同资产提供更灵活的 AMM 设计。,模块化 DEX 架构;STEX AMM;质押资产交易;流动性基础设施,,,HyperEVM;DEX;AMM;STEX;Liquidity,FALSE,
Felix,felix,CDP,Live,Felix 是 Hyperliquid L1 上的合成美元和借贷相关协议，围绕 USDhl、抵押债仓和收益金库展开。,https://www.usefelix.xyz,https://icons.llama.fi/felix-cdp.jpg,https://x.com/felixprotocol,,,Felix 是 HyperEVM / Hyperliquid 生态中的稳定资产与信贷基础设施项目，核心方向包括合成美元、抵押债仓以及资产收益策略。Felix 通过 USDhl 和相关金库产品，为用户提供更贴近 Hyperliquid 生态的稳定资产使用场景，也为生态内支付、交易和 DeFi 组合提供基础组件。,合成美元;抵押债仓;收益金库;Hyperliquid 稳定资产基础设施,,,HyperEVM;CDP;Stablecoin;USDhl;Vaults,FALSE,
Rysk Finance,rysk-finance,Options,Live,Rysk Finance 为 DeFi 用户提供基于期权和结构化策略的收益产品，Hyperliquid L1 上包含 Rysk V12 和 Rysk Premium。,https://app.rysk.finance/join?code=DEFILLAMA,https://icons.llama.fi/rysk-v12.jpg,https://x.com/ryskfinance,,https://docs.rysk.finance/,Rysk Finance 是面向波动率收益和结构化产品的 DeFi 协议，核心思路是把期权策略和资产收益管理带到链上。其 Hyperliquid L1 相关产品包括 Rysk V12 与 Rysk Premium，分别服务于覆盖式期权收益和更定制化的机构级波动率收益场景。对于 HyperEVM 生态来说，Rysk 补充了期权、收益和结构化策略方向的金融基础设施。,期权收益策略;覆盖式期权;结构化收益产品;波动率收益基础设施,,,HyperEVM;Options;Yield;Structured Products;Volatility,FALSE,
Hyperbeat,hyperbeat,Yield Aggregator,Live,Hyperbeat 提供 HyperEVM 上的一键收益金库和流动性质押产品，帮助用户把资产部署到生态内收益策略。,https://app.hyperbeat.org/earn,https://icons.llama.fi/hyperbeat-earn.jpg,https://x.com/0xhyperbeat,,https://docs.hyperbeat.org/,Hyperbeat 是 HyperEVM 生态中的收益聚合与质押产品入口，围绕 Earn 金库和 beHYPE 流动性质押展开。用户可以通过 Hyperbeat 将 HYPE、kHYPE 或其他资产部署到生态内策略中，以更简单的方式参与 DeFi 收益。它更像是 HyperEVM 的资产配置层，帮助用户减少手动寻找和管理策略的成本。,一键收益金库;收益聚合;beHYPE 流动性质押;生态策略入口,,,HyperEVM;Yield Aggregator;Vaults;beHYPE;LST,FALSE,
Altura,altura,Liquidity Manager,Live,Altura 是 HyperEVM 上的链上资金管理协议，提供多策略稳定币金库和流动性管理产品。,https://app.altura.trade,https://icons.llama.fi/altura.jpg,https://x.com/alturax,,,Altura 是 HyperEVM 生态中的链上资金管理协议，主要提供多策略稳定币金库和流动性管理能力。它的定位不是单一交易工具，而是帮助资金在不同策略之间进行配置和管理。对于希望在 HyperEVM 上使用更自动化、更结构化资金管理方案的用户，Altura 提供了一个面向收益和风险平衡的入口。,多策略稳定币金库;链上资金管理;流动性管理;自动化策略配置,,,HyperEVM;Liquidity Manager;Vaults;Stablecoin;Capital Management,FALSE,
Looping Collective,looping-collective,Yield,Live,Looping Collective 提供面向 HYPE、USD、BTC 等资产的流动性代币化 DeFi 策略，目标是获得更高的风险调整后收益。,https://www.loopingcollective.org/,https://icons.llama.fi/looping-collective.jpg,https://x.com/looping_col,,,Looping Collective 是 HyperEVM 生态中的收益策略项目，专注于将 HYPE、USD、BTC 等资产部署到流动、代币化的 DeFi 策略中。它强调可靠和风险调整后的收益体验，适合被归类为收益类基础设施。对于用户来说，Looping Collective 可以作为把资产接入 HyperEVM 收益机会的一个策略入口。,代币化 DeFi 策略;HYPE 收益策略;多资产收益;风险调整后收益,,,HyperEVM;Yield;Strategies;HYPE;Vaults,FALSE,
Project X,project-x,Dexs,Live,HyperEVM 上的去中心化交易项目,prjx.com,,https://x.com/prjx_hl,,https://prjxdocs.notion.site/,Project X 是 HyperEVM 生态中的去中心化交易项目，主要面向希望在 HyperEVM 上完成资产兑换、流动性管理和链上交易的用户。它的核心价值在于为生态内资产提供更直接的交易入口，并帮助用户在不同交易路径中获得更顺畅的成交体验。对于普通用户来说，Project X 可以作为进入 HyperEVM DeFi 生态的基础交易工具；对于流动性提供者来说，它也可以成为参与生态早期流动性建设的重要入口。,Swap;Liquidity;Routing,交易用户;流动性提供者,智能合约风险;市场波动风险,Native;DEX;HyperEVM,TRUE,
HyperLend,hyperlend,Lending,Live,HyperEVM 上的借贷协议,hyperlend.finance,,https://x.com/hyperlendx,https://discord.com/invite/hyperlendfinance,https://docs.hyperlend.finance/,HyperLend 是 HyperEVM 生态中的借贷协议，主要为用户提供资产存入、抵押借款和收益获取等基础 DeFi 功能。用户可以将支持的资产存入协议以获得潜在收益，也可以在满足抵押要求的前提下借出其他资产，提高资金使用效率。HyperLend 更适合已经熟悉链上钱包和 DeFi 基础操作的用户使用，尤其适合希望在 HyperEVM 生态中进行资金管理、杠杆策略或流动性配置的用户。,Deposit;Borrow;Collateral,借款用户;收益用户,清算风险;利率波动风险,Lending;Yield,FALSE,
